wati by night,wati house
pour que tu m'aimes encore,destin
bye bye (refugee camp band remix),bye bye (feat. imane d.)
slipping away,crier la vie
le tourbillon,tourbillon de la vie
the way i are,onerepublic remix
Day 'N' Nite (Crookers Remix),Day 'N' Nite (Mobin Master Remix)
Ça m'énerve 2020,Ça m'énerve (Radio Edit)
Love etc.,Love etc. (Gui Boratto Mix)
I Don't Want to Talk About It (1989 Version),I Don't Want To Talk About It (Live)
Thank You,Thank You (Not So Bad)
Dernière danse,Dernière danse (Techno Mix)
I'm Not Here To Make Friends,I'm Not The Only One
...Baby One More Time,Gimme More
Be the One,One Kiss
Barbie Girl,Barbie Girl (Tiësto Remix)
Rush (feat. Kardinal Offishall),Troublemaker (feat. Sweet Rush)
Wonderful Tonight,Wonderful Tonight
